date,value,series_id
2015-01-01,96.654,PCEPI
2015-02-01,96.825,PCEPI
2015-03-01,97.008,PCEPI
2015-04-01,97.094,PCEPI
2015-05-01,97.327,PCEPI
2015-06-01,97.516,PCEPI
2015-07-01,97.605,PCEPI
2015-08-01,97.612,PCEPI
2015-09-01,97.477,PCEPI
2015-10-01,97.477,PCEPI
2015-11-01,97.538,PCEPI
2015-12-01,97.456,PCEPI
2016-01-01,97.496,PCEPI
2016-02-01,97.445,PCEPI
2016-03-01,97.673,PCEPI
2016-04-01,97.993,PCEPI
2016-05-01,98.153,PCEPI
2016-06-01,98.325,PCEPI
2016-07-01,98.342,PCEPI
2016-08-01,98.479,PCEPI
2016-09-01,98.666,PCEPI
2016-10-01,98.868,PCEPI
2016-11-01,98.901,PCEPI
2016-12-01,99.071,PCEPI
2017-01-01,99.451,PCEPI
2017-02-01,99.586,PCEPI
2017-03-01,99.535,PCEPI
2017-04-01,99.725,PCEPI
2017-05-01,99.682,PCEPI
2017-06-01,99.766,PCEPI
2017-07-01,99.803,PCEPI
2017-08-01,100.027,PCEPI
2017-09-01,100.4,PCEPI
2017-10-01,100.531,PCEPI
2017-11-01,100.675,PCEPI
2017-12-01,100.821,PCEPI
2018-01-01,101.199,PCEPI
2018-02-01,101.416,PCEPI
2018-03-01,101.524,PCEPI
2018-04-01,101.766,PCEPI
2018-05-01,101.941,PCEPI
2018-06-01,102.029,PCEPI
2018-07-01,102.137,PCEPI
2018-08-01,102.208,PCEPI
2018-09-01,102.418,PCEPI
2018-10-01,102.595,PCEPI
2018-11-01,102.63,PCEPI
2018-12-01,102.701,PCEPI
2019-01-01,102.648,PCEPI
2019-02-01,102.836,PCEPI
2019-03-01,103.069,PCEPI
2019-04-01,103.36,PCEPI
2019-05-01,103.435,PCEPI
2019-06-01,103.484,PCEPI
2019-07-01,103.622,PCEPI
2019-08-01,103.67,PCEPI
2019-09-01,103.733,PCEPI
2019-10-01,103.917,PCEPI
2019-11-01,104.024,PCEPI
2019-12-01,104.307,PCEPI
2020-01-01,104.49,PCEPI
2020-02-01,104.573,PCEPI
2020-03-01,104.271,PCEPI
2020-04-01,103.838,PCEPI
2020-05-01,103.942,PCEPI
2020-06-01,104.27,PCEPI
2020-07-01,104.578,PCEPI
2020-08-01,104.87,PCEPI
2020-09-01,105.057,PCEPI
2020-10-01,105.151,PCEPI
2020-11-01,105.258,PCEPI
2020-12-01,105.699,PCEPI
2021-01-01,106.147,PCEPI
2021-02-01,106.5,PCEPI
2021-03-01,107.054,PCEPI
2021-04-01,107.618,PCEPI
2021-05-01,108.175,PCEPI
2021-06-01,108.76,PCEPI
2021-07-01,109.256,PCEPI
2021-08-01,109.674,PCEPI
2021-09-01,110.034,PCEPI
2021-10-01,110.762,PCEPI
2021-11-01,111.5,PCEPI
2021-12-01,112.191,PCEPI
2022-01-01,112.805,PCEPI
2022-02-01,113.471,PCEPI
2022-03-01,114.469,PCEPI
2022-04-01,114.812,PCEPI
2022-05-01,115.525,PCEPI
2022-06-01,116.638,PCEPI
2022-07-01,116.631,PCEPI
2022-08-01,116.956,PCEPI
2022-09-01,117.371,PCEPI
2022-10-01,117.919,PCEPI
2022-11-01,118.224,PCEPI
2022-12-01,118.384,PCEPI
2023-01-01,119.018,PCEPI
2023-02-01,119.369,PCEPI
2023-03-01,119.538,PCEPI
2023-04-01,119.951,PCEPI
2023-05-01,120.15,PCEPI
2023-06-01,120.469,PCEPI
2023-07-01,120.607,PCEPI
2023-08-01,120.97,PCEPI
2023-09-01,121.419,PCEPI
2023-10-01,121.484,PCEPI
2023-11-01,121.493,PCEPI
2023-12-01,121.66,PCEPI
2024-01-01,122.23,PCEPI
2024-02-01,122.598,PCEPI
2024-03-01,123.038,PCEPI
2024-04-01,123.341,PCEPI
2024-05-01,123.348,PCEPI
2024-06-01,123.539,PCEPI
2024-07-01,123.736,PCEPI
2024-08-01,123.889,PCEPI
2024-09-01,124.164,PCEPI
2024-10-01,124.494,PCEPI
2024-11-01,124.637,PCEPI
2024-12-01,124.979,PCEPI
2025-01-01,125.417,PCEPI
2025-02-01,125.921,PCEPI
2025-03-01,125.941,PCEPI
2025-04-01,126.15,PCEPI
2025-05-01,126.38,PCEPI
2025-06-01,126.743,PCEPI
2025-07-01,126.96,PCEPI
2025-08-01,127.293,PCEPI
2025-09-01,127.625,PCEPI
2025-10-01,127.871,PCEPI
2025-11-01,128.152,PCEPI
2025-12-01,128.576,PCEPI
2026-01-01,129.0,PCEPI
2026-02-01,129.484,PCEPI
2026-03-01,130.344,PCEPI
