date,run_type,symbol,asset_class,phase,score,classification,close,confirmation_trigger_value,invalidation_level_value,was_notified,notification_reason,alert_type,created_at
2026-05-08,screener,ETH-USD,crypto,Acumulação inicial,59,Acumulacao inicial,2311.47998046875,2423.040283203125,1804.1136474609373,False,,,2026-05-08T19:52:27
2026-05-08,screener,BTC-USD,crypto,Acumulação inicial,56,Acumulacao inicial,80296.9609375,82792.2109375,62553.1875,False,,,2026-05-08T19:52:27
2026-05-08,screener,QQQ,equity_indices,Acumulação inicial,51,Acumulacao inicial,711.22998046875,711.22998046875,555.5999755859375,False,,,2026-05-08T19:52:27
2026-05-08,screener,SPY,equity_indices,Acumulação inicial,51,Acumulacao inicial,737.6199951171875,738.0700073242188,629.280029296875,False,,,2026-05-08T19:52:27
2026-05-08,screener,IWM,equity_indices,Acumulação inicial,51,Acumulacao inicial,284.1700134277344,287.5799865722656,238.69000244140625,False,,,2026-05-08T19:52:27
2026-05-08,screener,KWEB,emerging_markets,Possível estabilização,46,Possivel estabilizacao,29.549999237060547,30.72900009155273,27.6200008392334,False,,,2026-05-08T19:52:27
2026-05-08,screener,GLD,commodities,Possível estabilização,44,Possivel estabilizacao,433.7699890136719,448.7000122070313,395.5899963378906,False,,,2026-05-08T19:52:27
2026-05-08,screener,TSLA,growth_stocks,Possível estabilização,41,Possivel estabilizacao,428.3500061035156,431.2000122070313,337.239990234375,False,,,2026-05-08T19:52:27
2026-05-08,screener,COIN,growth_stocks,Possível estabilização,41,Possivel estabilizacao,201.1600036621093,216.0500030517578,139.36000061035156,False,,,2026-05-08T19:52:27
2026-05-08,screener,TLT,bonds,Fora do padrão,31,Fora do padrao,86.08000183105469,86.9190409403093,84.76000213623047,False,,,2026-05-08T19:52:27
2026-05-08,weekly-report,ADA-USD,crypto,Acumulação avançada,69,Acumulacao avancada,0.2748000025749206,0.2769617140293121,0.2346830070018768,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,LINK-USD,crypto,Acumulação avançada,67,Acumulacao avancada,10.376999855041504,10.475152015686035,8.077677726745605,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,DOGE-USD,crypto,Acumulação avançada,67,Acumulacao avancada,0.1096199974417686,0.1168750002980232,0.0874399989843368,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,LTC-USD,crypto,Acumulação avançada,67,Acumulacao avancada,58.38999938964844,58.90254211425781,50.356292724609375,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,INJ-USD,crypto,Acumulação avançada,65,Acumulacao avancada,4.2179999351501465,4.279088497161865,2.7312240600585938,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,AVAX-USD,crypto,Acumulação avançada,64,Acumulacao avancada,9.949999809265137,9.997118949890137,8.203877449035645,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,BNB-USD,crypto,Acumulação avançada,63,Acumulacao avancada,650.2899780273438,662.101318359375,570.6839599609375,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,XRP-USD,crypto,Acumulação avançada,63,Acumulacao avancada,1.4184999465942385,1.4600750207901,1.2728489637374878,False,,,2026-05-08T19:57:00
2026-05-08,weekly-report,TIA-USD,crypto,Acumulação avançada,63,Acumulacao avancada,0.445499986410141,0.4526140391826629,0.2795160114765167,False,,,2026-05-08T19:57:00
